BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	development_stage_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN00989169	SRX144394	GSM922200: Late blastocyst #1 -Cell#7	2012-08-12	3099	2148	SRR491015	SRS310985	GSM922200	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989170	SRX144395	GSM922201: Late blastocyst #1 -Cell#8	2012-08-12	2694	1862	SRR491016	SRS310986	GSM922201	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989171	SRX144396	GSM922202: Late blastocyst #1 -Cell#9	2012-08-12	5131	3555	SRR491017	SRS310987	GSM922202	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989172	SRX144397	GSM922203: Late blastocyst #1 -Cell#10	2012-08-12	2559	1777	SRR491018	SRS310988	GSM922203	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989173	SRX144398	GSM922204: Late blastocyst #1 -Cell#11	2012-08-12	1721	1200	SRR491019	SRS310989	GSM922204	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989174	SRX144399	GSM922205: Late blastocyst #1 -Cell#12	2012-08-12	2106	1453	SRR491020	SRS310990	GSM922205	human preimplantation blastomere	early blastomere	Late blastocyst #1	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989175	SRX144400	GSM922206: Late blastocyst #2 -Cell#1	2012-08-12	2823	1927	SRR491021	SRS310991	GSM922206	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989176	SRX144401	GSM922207: Late blastocyst #2 -Cell#2	2012-08-12	2720	1876	SRR491022	SRS310992	GSM922207	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989177	SRX144402	GSM922208: Late blastocyst #2 -Cell#3	2012-08-12	2202	1516	SRR491023	SRS310993	GSM922208	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989178	SRX144403	GSM922209: Late blastocyst #2 -Cell#4	2012-08-12	2421	1673	SRR491024	SRS310994	GSM922209	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989179	SRX144404	GSM922210: Late blastocyst #2 -Cell#5	2012-08-12	2441	1681	SRR491025	SRS310995	GSM922210	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989180	SRX144405	GSM922211: Late blastocyst #2 -Cell#6	2012-08-12	2649	1820	SRR491026	SRS310996	GSM922211	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989181	SRX144406	GSM922212: Late blastocyst #2 -Cell#7	2012-08-12	1765	1214	SRR491027	SRS310997	GSM922212	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989182	SRX144407	GSM922213: Late blastocyst #2 -Cell#8	2012-08-12	2154	1490	SRR491028	SRS310998	GSM922213	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989183	SRX144408	GSM922214: Late blastocyst #2 -Cell#9	2012-08-12	3243	2225	SRR491029	SRS310999	GSM922214	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989184	SRX144409	GSM922215: Late blastocyst #2 -Cell#10	2012-08-12	3315	2280	SRR491030	SRS311000	GSM922215	human preimplantation blastomere	early blastomere	Late blastocyst #2	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989185	SRX144410	GSM922216: Late blastocyst #3 -Cell#1	2012-08-12	4674	3258	SRR491031	SRS311001	GSM922216	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989186	SRX144411	GSM922217: Late blastocyst #3 -Cell#2	2012-08-12	3822	2659	SRR491032	SRS311002	GSM922217	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989187	SRX144412	GSM922218: Late blastocyst #3 -Cell#3	2012-08-12	2857	1990	SRR491033	SRS311003	GSM922218	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989188	SRX144413	GSM922219: Late blastocyst #3 -Cell#4	2012-08-12	3526	2459	SRR491034	SRS311004	GSM922219	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989189	SRX144414	GSM922220: Late blastocyst #3 -Cell#5	2012-08-12	3147	2196	SRR491035	SRS311005	GSM922220	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989190	SRX144415	GSM922221: Late blastocyst #3 -Cell#6	2012-08-12	3587	2491	SRR491036	SRS311006	GSM922221	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989191	SRX144416	GSM922222: Late blastocyst #3 -Cell#7	2012-08-12	3756	2592	SRR491037	SRS311007	GSM922222	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989192	SRX144417	GSM922223: Late blastocyst #3 -Cell#8	2012-08-12	4531	3118	SRR491038	SRS311008	GSM922223	human preimplantation blastomere	early blastomere	Late blastocyst #3	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989193	SRX144418	GSM922224: hESC passage#0 -Cell#4	2012-08-12	2604	1792	SRR491039	SRS311009	GSM922224	human embryonic stem cell	peri-implantation stem cells	hESC passage#0	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989194	SRX144419	GSM922225: hESC passage#0 -Cell#5	2012-08-12	2544	1748	SRR491040	SRS311010	GSM922225	human embryonic stem cell	peri-implantation stem cells	hESC passage#0	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989195	SRX144420	GSM922226: hESC passage#0 -Cell#6	2012-08-12	2327	1599	SRR491041	SRS311011	GSM922226	human embryonic stem cell	peri-implantation stem cells	hESC passage#0	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989196	SRX144421	GSM922227: hESC passage#0 -Cell#7	2012-08-12	1864	1279	SRR491042	SRS311012	GSM922227	human embryonic stem cell	peri-implantation stem cells	hESC passage#0	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989197	SRX144422	GSM922228: hESC passage#0 -Cell#8	2012-08-12	2834	1941	SRR491043	SRS311013	GSM922228	human embryonic stem cell	peri-implantation stem cells	hESC passage#0	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989199	SRX144424	GSM922230: hESC passage#0 -Cell#10	2012-08-12	1939	1335	SRR491045	SRS311015	GSM922230	human embryonic stem cell	peri-implantation stem cells	hESC passage#0	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989219	SRX144444	GSM922250: hESC passage#10 -Cell#1	2012-08-12	4006	2607	SRR491065	SRS311035	GSM922250	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989220	SRX144445	GSM922251: hESC passage#10 -Cell#2	2012-08-12	4015	2630	SRR491066	SRS311036	GSM922251	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989221	SRX144446	GSM922252: hESC passage#10 -Cell#3	2012-08-12	3320	2175	SRR491067	SRS311037	GSM922252	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989222	SRX144447	GSM922253: hESC passage#10 -Cell#4	2012-08-12	3308	2164	SRR491068	SRS311038	GSM922253	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989223	SRX144448	GSM922254: hESC passage#10 -Cell#5	2012-08-12	3412	2163	SRR491069	SRS311039	GSM922254	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989224	SRX144449	GSM922255: hESC passage#10 -Cell#6	2012-08-12	3153	1990	SRR491070	SRS311040	GSM922255	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989225	SRX144450	GSM922256: hESC passage#10 -Cell#7	2012-08-12	2634	1661	SRR491071	SRS311041	GSM922256	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989226	SRX144451	GSM922257: hESC passage#10 -Cell#8	2012-08-12	2373	1496	SRR491072	SRS311042	GSM922257	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989227	SRX144452	GSM922258: hESC passage#10 -Cell#9	2012-08-12	3078	2022	SRR491073	SRS311043	GSM922258	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989228	SRX144453	GSM922259: hESC passage#10 -Cell#10	2012-08-12	3237	2115	SRR491074	SRS311044	GSM922259	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989229	SRX144454	GSM922260: hESC passage#10 -Cell#11	2012-08-12	3702	2410	SRR491075	SRS311045	GSM922260	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989230	SRX144455	GSM922261: hESC passage#10 -Cell#12	2012-08-12	3215	2224	SRR491076	SRS311046	GSM922261	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989231	SRX144456	GSM922262: hESC passage#10 -Cell#13	2012-08-12	2969	2048	SRR491077	SRS311047	GSM922262	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989232	SRX144457	GSM922263: hESC passage#10 -Cell#14	2012-08-12	2745	1894	SRR491078	SRS311048	GSM922263	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989233	SRX144458	GSM922264: hESC passage#10 -Cell#15	2012-08-12	2750	1907	SRR491079	SRS311049	GSM922264	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989234	SRX144459	GSM922265: hESC passage#10 -Cell#16	2012-08-12	3359	2283	SRR491080	SRS311050	GSM922265	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989235	SRX144460	GSM922266: hESC passage#10 -Cell#17	2012-08-12	2907	1974	SRR491081	SRS311051	GSM922266	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989236	SRX144461	GSM922267: hESC passage#10 -Cell#18	2012-08-12	3568	2427	SRR491082	SRS311052	GSM922267	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989237	SRX144462	GSM922268: hESC passage#10 -Cell#19	2012-08-12	3509	2381	SRR491083	SRS311053	GSM922268	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989238	SRX144463	GSM922269: hESC passage#10 -Cell#20	2012-08-12	2776	1847	SRR491084	SRS311054	GSM922269	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989239	SRX144464	GSM922270: hESC passage#10 -Cell#21	2012-08-12	2929	1991	SRR491085	SRS311055	GSM922270	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989240	SRX144465	GSM922271: hESC passage#10 -Cell#22	2012-08-12	2572	1705	SRR491086	SRS311056	GSM922271	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989241	SRX144466	GSM922272: hESC passage#10 -Cell#23	2012-08-12	3301	2200	SRR491087	SRS311057	GSM922272	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989242	SRX144467	GSM922273: hESC passage#10 -Cell#24	2012-08-12	2997	1986	SRR491088	SRS311058	GSM922273	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989243	SRX144468	GSM922274: hESC passage#10 -Cell#25	2012-08-12	2998	1986	SRR491089	SRS311059	GSM922274	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00989244	SRX144469	GSM922275: hESC passage#10 -Cell#26	2012-08-12	2571	1712	SRR491090	SRS311060	GSM922275	human embryonic stem cell	peri-implantation stem cells	hESC passage#10	human embryonic stem cell line	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
