BioSample_s	Experiment_s	Instrument_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	age_s	curated_cell_type_s	health_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s	tissue_s
SAMN05217447	SRX1832145	Illumina HiSeq 2000	310	221	SRR3649996	SRS1493223	GSM2194295	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217451	SRX1832146	Illumina HiSeq 2000	107	62	SRR3649997	SRS1493225	GSM2194296	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217451	SRX1832146	Illumina HiSeq 2000	22	16	SRR3649998	SRS1493225	GSM2194296	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217451	SRX1832146	Illumina HiSeq 2000	309	218	SRR3649999	SRS1493225	GSM2194296	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217452	SRX1832147	Illumina HiSeq 2000	105	61	SRR3650000	SRS1493224	GSM2194297	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217452	SRX1832147	Illumina HiSeq 2000	19	14	SRR3650001	SRS1493224	GSM2194297	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217452	SRX1832147	Illumina HiSeq 2000	280	198	SRR3650002	SRS1493224	GSM2194297	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217453	SRX1832148	Illumina HiSeq 2000	126	74	SRR3650003	SRS1493226	GSM2194298	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217453	SRX1832148	Illumina HiSeq 2000	21	16	SRR3650004	SRS1493226	GSM2194298	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217453	SRX1832148	Illumina HiSeq 2000	332	236	SRR3650005	SRS1493226	GSM2194298	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217454	SRX1832149	Illumina HiSeq 2000	110	64	SRR3650006	SRS1493228	GSM2194299	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217454	SRX1832149	Illumina HiSeq 2000	25	19	SRR3650007	SRS1493228	GSM2194299	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217454	SRX1832149	Illumina HiSeq 2000	327	232	SRR3650008	SRS1493228	GSM2194299	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217448	SRX1832150	Illumina HiSeq 2000	98	57	SRR3650009	SRS1493227	GSM2194300	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217448	SRX1832150	Illumina HiSeq 2000	15	11	SRR3650010	SRS1493227	GSM2194300	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217448	SRX1832150	Illumina HiSeq 2000	296	209	SRR3650011	SRS1493227	GSM2194300	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217449	SRX1832151	Illumina HiSeq 2000	71	49	SRR3650012	SRS1493229	GSM2194301	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217449	SRX1832151	Illumina HiSeq 2000	13	9	SRR3650013	SRS1493229	GSM2194301	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217449	SRX1832151	Illumina HiSeq 2000	184	131	SRR3650014	SRS1493229	GSM2194301	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217450	SRX1832152	Illumina HiSeq 2000	118	74	SRR3650015	SRS1493230	GSM2194302	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217450	SRX1832152	Illumina HiSeq 2000	21	15	SRR3650016	SRS1493230	GSM2194302	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217450	SRX1832152	Illumina HiSeq 2000	306	217	SRR3650017	SRS1493230	GSM2194302	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217455	SRX1832153	Illumina HiSeq 2000	117	68	SRR3650018	SRS1493231	GSM2194303	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217455	SRX1832153	Illumina HiSeq 2000	26	20	SRR3650019	SRS1493231	GSM2194303	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217455	SRX1832153	Illumina HiSeq 2000	291	207	SRR3650020	SRS1493231	GSM2194303	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217456	SRX1832154	Illumina HiSeq 2000	101	60	SRR3650021	SRS1493232	GSM2194304	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217456	SRX1832154	Illumina HiSeq 2000	15	11	SRR3650022	SRS1493232	GSM2194304	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217456	SRX1832154	Illumina HiSeq 2000	242	172	SRR3650023	SRS1493232	GSM2194304	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217457	SRX1832155	Illumina HiSeq 2000	102	60	SRR3650024	SRS1493233	GSM2194305	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217457	SRX1832155	Illumina HiSeq 2000	18	13	SRR3650025	SRS1493233	GSM2194305	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217457	SRX1832155	Illumina HiSeq 2000	241	172	SRR3650026	SRS1493233	GSM2194305	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217458	SRX1832156	Illumina HiSeq 2000	93	64	SRR3650027	SRS1493234	GSM2194306	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217458	SRX1832156	Illumina HiSeq 2000	14	10	SRR3650028	SRS1493234	GSM2194306	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217458	SRX1832156	Illumina HiSeq 2000	242	173	SRR3650029	SRS1493234	GSM2194306	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217459	SRX1832157	Illumina HiSeq 2000	111	70	SRR3650030	SRS1493235	GSM2194307	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217459	SRX1832157	Illumina HiSeq 2000	21	16	SRR3650031	SRS1493235	GSM2194307	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217459	SRX1832157	Illumina HiSeq 2000	270	194	SRR3650032	SRS1493235	GSM2194307	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217460	SRX1832158	Illumina HiSeq 2000	89	61	SRR3650033	SRS1493236	GSM2194308	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217460	SRX1832158	Illumina HiSeq 2000	17	13	SRR3650034	SRS1493236	GSM2194308	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217460	SRX1832158	Illumina HiSeq 2000	219	157	SRR3650035	SRS1493236	GSM2194308	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217461	SRX1832159	Illumina HiSeq 2000	112	66	SRR3650036	SRS1493237	GSM2194309	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217461	SRX1832159	Illumina HiSeq 2000	23	17	SRR3650037	SRS1493237	GSM2194309	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217461	SRX1832159	Illumina HiSeq 2000	274	194	SRR3650038	SRS1493237	GSM2194309	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217462	SRX1832160	Illumina HiSeq 2000	143	83	SRR3650039	SRS1493238	GSM2194310	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217462	SRX1832160	Illumina HiSeq 2000	38	29	SRR3650040	SRS1493238	GSM2194310	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217462	SRX1832160	Illumina HiSeq 2000	398	283	SRR3650041	SRS1493238	GSM2194310	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217463	SRX1832161	Illumina HiSeq 2000	145	85	SRR3650042	SRS1493239	GSM2194311	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217463	SRX1832161	Illumina HiSeq 2000	29	22	SRR3650043	SRS1493239	GSM2194311	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217463	SRX1832161	Illumina HiSeq 2000	377	267	SRR3650044	SRS1493239	GSM2194311	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217464	SRX1832162	Illumina HiSeq 2000	135	79	SRR3650045	SRS1493240	GSM2194312	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217464	SRX1832162	Illumina HiSeq 2000	26	20	SRR3650046	SRS1493240	GSM2194312	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217464	SRX1832162	Illumina HiSeq 2000	342	242	SRR3650047	SRS1493240	GSM2194312	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217465	SRX1832163	Illumina HiSeq 2000	109	76	SRR3650048	SRS1493241	GSM2194313	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217465	SRX1832163	Illumina HiSeq 2000	19	14	SRR3650049	SRS1493241	GSM2194313	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217465	SRX1832163	Illumina HiSeq 2000	231	170	SRR3650050	SRS1493241	GSM2194313	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217466	SRX1832164	Illumina HiSeq 2000	103	62	SRR3650051	SRS1493242	GSM2194314	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217466	SRX1832164	Illumina HiSeq 2000	18	13	SRR3650052	SRS1493242	GSM2194314	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217466	SRX1832164	Illumina HiSeq 2000	243	173	SRR3650053	SRS1493242	GSM2194314	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217467	SRX1832165	Illumina HiSeq 2000	109	67	SRR3650054	SRS1493243	GSM2194315	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217467	SRX1832165	Illumina HiSeq 2000	18	13	SRR3650055	SRS1493243	GSM2194315	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217467	SRX1832165	Illumina HiSeq 2000	259	185	SRR3650056	SRS1493243	GSM2194315	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217468	SRX1832166	Illumina HiSeq 2000	146	86	SRR3650057	SRS1493244	GSM2194316	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217468	SRX1832166	Illumina HiSeq 2000	24	18	SRR3650058	SRS1493244	GSM2194316	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217468	SRX1832166	Illumina HiSeq 2000	373	267	SRR3650059	SRS1493244	GSM2194316	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217469	SRX1832167	Illumina HiSeq 2000	104	61	SRR3650060	SRS1493245	GSM2194317	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217469	SRX1832167	Illumina HiSeq 2000	23	18	SRR3650061	SRS1493245	GSM2194317	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217469	SRX1832167	Illumina HiSeq 2000	261	186	SRR3650062	SRS1493245	GSM2194317	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217470	SRX1832168	Illumina HiSeq 2000	149	87	SRR3650063	SRS1493248	GSM2194318	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217470	SRX1832168	Illumina HiSeq 2000	27	20	SRR3650064	SRS1493248	GSM2194318	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217470	SRX1832168	Illumina HiSeq 2000	375	267	SRR3650065	SRS1493248	GSM2194318	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217471	SRX1832169	Illumina HiSeq 2000	113	68	SRR3650066	SRS1493246	GSM2194319	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217471	SRX1832169	Illumina HiSeq 2000	15	11	SRR3650067	SRS1493246	GSM2194319	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217471	SRX1832169	Illumina HiSeq 2000	276	198	SRR3650068	SRS1493246	GSM2194319	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217472	SRX1832170	Illumina HiSeq 2500	53	30	SRR3650069	SRS1493247	GSM2194320	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217472	SRX1832170	Illumina HiSeq 2500	60	25	SRR3650070	SRS1493247	GSM2194320	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217473	SRX1832171	Illumina HiSeq 2500	93	51	SRR3650071	SRS1493250	GSM2194321	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217473	SRX1832171	Illumina HiSeq 2500	112	39	SRR3650072	SRS1493250	GSM2194321	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217474	SRX1832172	Illumina HiSeq 2500	41	22	SRR3650073	SRS1493249	GSM2194322	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217474	SRX1832172	Illumina HiSeq 2500	48	17	SRR3650074	SRS1493249	GSM2194322	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217475	SRX1832173	Illumina HiSeq 2500	78	44	SRR3650075	SRS1493251	GSM2194323	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217475	SRX1832173	Illumina HiSeq 2500	93	33	SRR3650076	SRS1493251	GSM2194323	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217476	SRX1832174	Illumina HiSeq 2500	106	59	SRR3650077	SRS1493252	GSM2194324	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217476	SRX1832174	Illumina HiSeq 2500	130	45	SRR3650078	SRS1493252	GSM2194324	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217479	SRX1832175	Illumina HiSeq 2500	99	55	SRR3650079	SRS1493253	GSM2194325	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05217479	SRX1832175	Illumina HiSeq 2500	123	42	SRR3650080	SRS1493253	GSM2194325	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
