BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	facs_gating_s	tonsil_donor_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s	source_name_s
SAMN03841966	SRX1082448	102	112	SRR2088479	SRS979859	GSM1810914	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841967	SRX1082449	94	103	SRR2088480	SRS979856	GSM1810915	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841968	SRX1082450	54	59	SRR2088481	SRS979855	GSM1810916	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841969	SRX1082451	18	20	SRR2088482	SRS979853	GSM1810917	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841970	SRX1082452	67	73	SRR2088483	SRS979852	GSM1810918	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841971	SRX1082453	139	151	SRR2088484	SRS979857	GSM1810919	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841972	SRX1082454	127	138	SRR2088485	SRS979854	GSM1810920	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841973	SRX1082455	117	127	SRR2088486	SRS979850	GSM1810921	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841974	SRX1082456	104	114	SRR2088487	SRS979849	GSM1810922	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841975	SRX1082457	123	135	SRR2088488	SRS979848	GSM1810923	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841976	SRX1082458	120	132	SRR2088489	SRS979847	GSM1810924	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841977	SRX1082459	74	81	SRR2088490	SRS979851	GSM1810925	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841978	SRX1082460	24	27	SRR2088491	SRS979846	GSM1810926	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841979	SRX1082461	22	25	SRR2088492	SRS979845	GSM1810927	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841980	SRX1082462	99	109	SRR2088493	SRS979843	GSM1810928	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841981	SRX1082463	98	108	SRR2088494	SRS979842	GSM1810929	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841982	SRX1082464	42	48	SRR2088495	SRS979844	GSM1810930	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841983	SRX1082465	98	108	SRR2088496	SRS979841	GSM1810931	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841984	SRX1082466	92	101	SRR2088497	SRS979840	GSM1810932	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841868	SRX1082467	107	117	SRR2088498	SRS979839	GSM1810933	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841869	SRX1082468	72	79	SRR2088499	SRS979838	GSM1810934	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841870	SRX1082469	23	25	SRR2088500	SRS979836	GSM1810935	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841871	SRX1082470	18	20	SRR2088501	SRS979837	GSM1810936	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841872	SRX1082471	50	57	SRR2088502	SRS979835	GSM1810937	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841874	SRX1082472	120	129	SRR2088503	SRS979834	GSM1810938	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841875	SRX1082473	54	60	SRR2088504	SRS979833	GSM1810939	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841876	SRX1082474	38	43	SRR2088505	SRS979830	GSM1810940	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841878	SRX1082476	25	28	SRR2088507	SRS979831	GSM1810942	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841873	SRX1082477	208	222	SRR2088508	SRS979832	GSM1810943	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841879	SRX1082478	248	262	SRR2088509	SRS979829	GSM1810944	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841880	SRX1082479	167	178	SRR2088510	SRS979828	GSM1810945	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841355	SRX1082528	176	186	SRR2088559	SRS979877	GSM1811000	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841356	SRX1082529	117	126	SRR2088560	SRS979880	GSM1811001	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841358	SRX1082531	139	149	SRR2088562	SRS979878	GSM1811003	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841359	SRX1082532	82	88	SRR2088563	SRS979879	GSM1811004	ILC2	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841381	SRX1082554	56	63	SRR2088585	SRS979883	GSM1811026	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841531	SRX1082560	38	43	SRR2088591	SRS979882	GSM1811032	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841532	SRX1082561	123	133	SRR2088592	SRS979881	GSM1811033	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841542	SRX1082571	23	25	SRR2088602	SRS979884	GSM1811043	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841509	SRX1082588	161	173	SRR2088619	SRS979887	GSM1811060	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841510	SRX1082589	170	182	SRR2088620	SRS979885	GSM1811061	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841511	SRX1082590	142	153	SRR2088621	SRS979886	GSM1811062	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841520	SRX1082599	129	138	SRR2088630	SRS979888	GSM1811071	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841428	SRX1082615	71	80	SRR2088646	SRS979889	GSM1811087	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841431	SRX1082618	105	116	SRR2088649	SRS979890	GSM1811090	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841432	SRX1082619	104	115	SRR2088650	SRS979891	GSM1811091	ILC3	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841380	SRX1082553	209	223	SRR2088584	SRS980019	GSM1811025	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841382	SRX1082555	46	51	SRR2088586	SRS980018	GSM1811027	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841383	SRX1082556	42	47	SRR2088587	SRS980017	GSM1811028	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841528	SRX1082557	152	163	SRR2088588	SRS980016	GSM1811029	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841529	SRX1082558	139	151	SRR2088589	SRS980015	GSM1811030	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841530	SRX1082559	141	152	SRR2088590	SRS980012	GSM1811031	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841533	SRX1082562	137	149	SRR2088593	SRS980014	GSM1811034	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841534	SRX1082563	145	157	SRR2088594	SRS980013	GSM1811035	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841535	SRX1082564	167	179	SRR2088595	SRS980011	GSM1811036	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841536	SRX1082565	76	83	SRR2088596	SRS980010	GSM1811037	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841537	SRX1082566	33	36	SRR2088597	SRS980009	GSM1811038	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841538	SRX1082567	23	25	SRR2088598	SRS980008	GSM1811039	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841539	SRX1082568	52	56	SRR2088599	SRS980007	GSM1811040	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841540	SRX1082569	57	62	SRR2088600	SRS980005	GSM1811041	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841541	SRX1082570	58	63	SRR2088601	SRS980006	GSM1811042	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841543	SRX1082572	56	61	SRR2088603	SRS980004	GSM1811044	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841544	SRX1082573	53	58	SRR2088604	SRS980003	GSM1811045	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841545	SRX1082574	67	72	SRR2088605	SRS980002	GSM1811046	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841546	SRX1082575	55	59	SRR2088606	SRS980001	GSM1811047	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841547	SRX1082576	33	36	SRR2088607	SRS980000	GSM1811048	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841548	SRX1082577	56	60	SRR2088608	SRS979998	GSM1811049	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841549	SRX1082578	128	138	SRR2088609	SRS979999	GSM1811050	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841550	SRX1082579	148	159	SRR2088610	SRS979997	GSM1811051	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841551	SRX1082580	47	52	SRR2088611	SRS979996	GSM1811052	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841552	SRX1082581	128	137	SRR2088612	SRS979994	GSM1811053	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841503	SRX1082582	121	130	SRR2088613	SRS979993	GSM1811054	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841504	SRX1082583	150	161	SRR2088614	SRS979995	GSM1811055	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841505	SRX1082584	140	150	SRR2088615	SRS979992	GSM1811056	NK	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841506	SRX1082585	83	90	SRR2088616	SRS979991	GSM1811057	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841507	SRX1082586	24	26	SRR2088617	SRS979989	GSM1811058	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841508	SRX1082587	126	136	SRR2088618	SRS979990	GSM1811059	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841512	SRX1082591	96	104	SRR2088622	SRS979988	GSM1811063	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841513	SRX1082592	146	157	SRR2088623	SRS979987	GSM1811064	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841514	SRX1082593	162	174	SRR2088624	SRS979986	GSM1811065	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
SAMN03841515	SRX1082594	115	124	SRR2088625	SRS979985	GSM1811066	ILC1	Donor T86	RNA-Seq	43	PRJNA289086	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-07-07	Homo sapiens	ILLUMINA	2016-01-28	SRP060416	tonsil Innate lymphoid cells	cDNA
